date,pm25,pm10,o3,no2,so2,co,dd,mm,yy
2018-12-31,348.5,508.0,13.0,47.0,12.0,20.0,31,12,2018
2019-01-01,414.0,641.0,9.0,49.0,12.0,29.0,1,1,2019
2019-01-02,480.0,604.0,10.0,39.0,9.0,27.0,2,1,2019
2019-01-03,496.0,354.0,6.0,30.0,7.0,16.0,3,1,2019
2019-01-04,352.0,454.0,11.0,38.0,10.0,19.0,4,1,2019
2019-01-05,378.0,204.0,9.0,30.0,8.0,15.0,5,1,2019
2019-01-06,261.0,211.0,8.0,29.0,8.0,13.0,6,1,2019
2019-01-07,271.0,168.0,11.0,23.0,7.0,16.0,7,1,2019
2019-01-08,240.0,156.0,14.0,23.0,7.0,11.0,8,1,2019
2019-01-09,224.0,222.0,12.0,27.0,9.0,13.0,9,1,2019
2019-01-10,242.0,438.0,11.0,39.0,10.0,22.0,10,1,2019
2019-01-11,378.0,497.0,14.0,39.0,9.0,27.0,11,1,2019
2019-01-12,417.0,407.0,10.0,34.0,9.0,25.0,12,1,2019
2019-01-13,391.0,139.0,14.0,21.0,7.0,9.0,13,1,2019
2019-01-14,176.0,175.0,10.0,28.0,8.0,10.0,14,1,2019
