date, pm25, pm10, o3, no2, co
08-01-19,100,144,90,38,59
07-01-19,77,140,87,39,59
06-01-19,88,111,85,41,61
05-01-19,114,118,89,41,68
04-01-19,104,140,93,41,71
03-01-19,109,133,90,41,71
02-01-19,97,139,71,41,72
01-01-19,114,128,80,39,68
31-12-18, ,140,92,39,64
30-12-18,72, , , , 
29-12-18,73,107,35,39,50
28-12-18,97,105,35,39,51
27-12-18,72,101,87,39,50
26-12-18,74,91,18,39,47
25-12-18,70,94,48,39,47
24-12-18,75,92,62,41,47
23-12-18,77,112,66,39,63
22-12-18,63,115,84,39,53
21-12-18,60,102,67,39,46
20-12-18,49,103,66,39,37
19-12-18,49,87,58,39,24
18-12-18,72,84,36,39,19
17-12-18,74,112,68,39,43
16-12-18,85,111,86,39,45
15-12-18,62,116,97,39,47
14-12-18,55,91,92,39,42
13-12-18,55,84,89,39,35
12-12-18,59,86,63,40,34
11-12-18,66,94,65,40,35
10-12-18,49,92,77,40,35
09-12-18,52,76,71,63,26
08-12-18,67,83,73,102,32
07-12-18,68,90,101,62,35
06-12-18,75,92,94,32,34
05-12-18,98,112,77,41,41
04-12-18,118,134,70,42,55
03-12-18,132,151,70,42,56
02-12-18,121,156,79,42,63
01-12-18,96,148,86,42,61
30-11-18,92,134,136,42,23
29-11-18,84,129,128,40,51
28-11-18,84,121,94,40,50
27-11-18,88,122,97,40,46
26-11-18,83,125,105,40,52
25-11-18,78,120,108,40,45
24-11-18,66,115,109,40,43
23-11-18,58,106,82,40,42
22-11-18,65,93,91,40,34
21-11-18,70,75,99,40,35
20-11-18,77,67,77,40,20
19-11-18,82,75,45,40,17
18-11-18,83,80,75,40,20
17-11-18,88,82,89,40,18
16-11-18,84,87,75,40,27
15-11-18,92,83,75,40,24
14-11-18,96,93,86,40,31
13-11-18,101,105,91,40,32
12-11-18,130,119,100,40,21
11-11-18,138,127,104,40,21
10-11-18,121,129,89,40,23
09-11-18,148,122,77,40,21
08-11-18,159,128,96,42,18
07-11-18,59,115,98,42,23
06-11-18,56,64,63,42,30
05-11-18,59,63,59,42,21
04-11-18,69,63,45,42,21
03-11-18,186,74,56,42,24
02-11-18,328,111,88,42,19
01-11-18,78,115,89,42,15
31-10-18,78,77,89,42,23
30-10-18,78,72,100,40,23
29-10-18,78,60,108,40,24
28-10-18,78,64,88,40,26
27-10-18,78,85,14,42,30
26-10-18,74,85,14,40,29
25-10-18,68,107,107,40,26
24-10-18,66,96,94,40,26
23-10-18,70,94,70, ,29
22-10-18,69,100,70,40,31
21-10-18,62,97,85,40,32
20-10-18,53,87,84,40,28
